,Team,Conf,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,Seed,Result,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,ADJ_T,WAB,Win%
904,2010_Northern_Iowa,MVC,35,30,109.566,90.79,0.896427,49.6131,46.668,17.948,9.0,16.0,20.4164,30.7231,26.86,37.0183,28.818,47.5182,44.75,35.4113,33.3119,37.954,35.9284,58.7342,3.918,0.8571428571428571
905,2010_Washington,P10,36,26,113.038,93.73,0.895828,49.7128,46.563,17.536,11.0,16.0,22.067,36.94,32.215,40.99,44.6289,49.5101,45.992,33.6195,32.169,25.7311,27.126,71.71,1.24,0.7222222222222222
906,2010_Oklahoma_St_,B12,33,22,114.426,95.146,0.893529,52.441,48.1134,18.469,7.0,64.0,19.4228,29.1287,27.919,36.5202,37.217,52.521,45.06,34.9131,36.1266,42.119,34.2234,66.0161,1.833,0.6666666666666666
907,2010_Notre_Dame,BE,35,23,120.35,100.4125,0.88863,53.72,49.3177,16.09,6.0,64.0,15.9341,34.794,30.578,38.1147,27.814,51.347,47.8173,38.819,34.9212,34.5116,33.3203,63.1278,0.4545,0.6571428571428571
908,2010_Georgia_Tech,ACC,35,22,109.862,91.717,0.888531,50.396,44.317,23.2313,10.0,64.0,21.398,38.324,33.7222,37.7164,34.8116,49.0117,42.814,35.893,31.346,28.3278,35.5273,68.168,1.439,0.6285714285714286
909,2010_Florida_St_,ACC,32,22,104.5144,87.32,0.888132,50.591,43.56,24.3327,9.0,64.0,23.618,38.128,32.4162,38.6133,34.8116,50.763,40.32,33.5199,32.897,32.1173,35.3269,65.6182,2.826,0.6875
910,2010_Tennessee,SEC,37,28,109.567,91.515,0.887133,50.687,45.235,18.996,6.0,8.0,23.133,33.5142,32.3158,35.6222,40.7232,51.835,45.782,32.0256,29.79,31.3195,38.1313,67.583,3.917,0.7567567567567568
911,2010_UNLV,MWC,33,24,111.647,93.327,0.886434,52.244,45.847,17.228,8.0,64.0,22.743,29.0289,30.89,30.9311,47.231,53.413,43.218,33.3207,33.7144,35.596,34.5244,66.215,1.043,0.7272727272727273
912,2010_UTEP,CUSA,33,26,108.482,90.91,0.883935,52.834,44.621,18.788,12.0,64.0,22.357,28.9293,30.269,39.6115,43.2274,53.413,43.422,34.3158,31.346,31.2199,34.8254,67.877,2.329,0.7878787878787878
913,2010_Pittsburgh,BE,34,25,111.846,93.729,0.883536,49.6131,44.621,19.4122,3.0,32.0,16.9331,37.038,31.1101,42.864,33.893,48.9126,43.624,34.3158,31.451,29.1261,29.159,60.9327,3.721,0.7352941176470589
914,2010_Gonzaga,WCC,33,26,112.441,95.042,0.874338,54.018,46.875,18.684,8.0,32.0,18.2279,32.0197,28.628,49.27,34.299,54.47,44.853,35.5109,33.9155,27.9281,32.6179,67.878,2.628,0.7878787878787878
915,2010_Old_Dominion,CAA,36,27,108.188,91.313,0.874139,48.8165,45.541,20.1156,11.0,32.0,22.452,42.41,30.269,30.3318,29.725,49.2109,45.888,31.7267,30.013,25.4318,35.0261,62.1309,0.844,0.75
916,2010_Vanderbilt,SEC,32,23,114.127,96.563,0.87264,52.639,47.086,19.3116,4.0,64.0,19.2238,32.6176,35.1278,48.31,34.5105,51.541,45.268,36.959,33.9155,29.9241,31.2119,68.169,3.324,0.71875
917,2010_Saint_Mary_s,WCC,33,27,115.919,98.692,0.864542,55.37,46.153,17.124,10.0,16.0,16.034,34.3112,31.1101,32.7294,30.237,52.225,46.3113,40.66,30.219,35.986,23.33,66.1155,2.031,0.8181818181818182
918,2010_San_Diego_St_,MWC,32,23,111.548,95.349,0.858044,51.752,46.981,20.8189,11.0,64.0,20.615,40.18,31.9132,41.089,31.655,53.512,43.116,31.8262,36.1266,30.8216,34.2234,62.7295,1.438,0.71875
919,2010_New_Mexico,MWC,35,30,114.823,98.588,0.854345,50.687,49.5191,16.21,3.0,32.0,19.9198,35.474,27.21,44.934,35.0121,47.8167,49.1228,36.959,33.3119,36.576,39.8335,66.9121,5.012,0.8571428571428571
920,2010_Louisville,BE,33,20,114.824,98.69,0.852547,51.462,48.5149,20.0148,9.0,64.0,22.357,39.89,36.9313,35.722,41.0237,51.93,46.7127,33.719,34.72,39.64,32.2162,65.8171,-0.116,0.6060606060606061
921,2010_Richmond,A10,35,26,109.171,93.933,0.848448,51.175,44.214,16.92,7.0,64.0,22.743,26.5326,35.8293,32.4297,36.2141,49.984,43.829,35.5109,30.118,36.281,31.2119,62.3302,2.727,0.7428571428571429
922,2010_Cornell,Ivy,32,27,118.08,101.9156,0.844349,56.53,48.1134,18.684,12.0,16.0,20.7142,32.119,29.961,29.1327,38.5195,51.152,46.6124,43.21,34.3181,39.934,31.8138,64.2246,2.032,0.84375
923,2010_Florida,SEC,34,21,113.334,98.284,0.83955,49.4139,48.4144,18.576,10.0,64.0,20.3173,37.038,32.8179,33.4282,27.713,50.666,48.3194,31.328,32.584,32.3169,32.919,64.1249,-0.0259,0.6176470588235294
924,2010_Wake_Forest,ACC,31,20,107.695,93.628,0.831654,47.0251,43.88,21.1208,9.0,32.0,19.1244,38.817,33.7222,40.894,38.5195,47.2197,43.829,30.8298,29.26,23.3339,32.4175,68.555,1.042,0.6451612903225806
925,2010_Siena,MAAC,34,27,108.775,96.664,0.796166,49.3142,48.013,17.433,13.0,64.0,21.682,35.569,29.551,38.7129,21.41,49.795,47.4152,32.1251,32.897,24.3333,31.3125,69.334,1.141,0.7941176470588235
926,2010_Murray_St_,OVC,34,29,107.694,95.652,0.795067,55.28,44.01,21.5238,13.0,32.0,23.816,39.213,32.8179,42.073,34.7113,54.38,41.03,38.13,34.0162,31.1204,29.568,65.5191,0.2348,0.8529411764705882
927,2010_Wofford,SC,34,25,104.8141,95.044,0.754579,49.1151,46.563,18.362,13.0,64.0,21.398,33.6139,29.242,44.148,35.7133,47.7175,46.8129,34.8137,30.627,30.8216,30.596,63.0283,-1.772,0.7352941176470589
928,2010_Houston,CUSA,34,18,112.54,103.0178,0.735585,48.1197,51.227,12.41,13.0,64.0,23.133,30.5244,38.5339,33.9269,39.6219,45.2255,51.7314,35.6105,33.4127,35.498,29.568,71.112,-6.2137,0.5294117647058824
929,2010_Sam_Houston_St_,Slnd,29,21,110.656,101.9158,0.718192,53.72,50.2228,18.893,14.0,64.0,21.0123,33.6139,30.166,38.7129,41.2243,51.93,50.4281,37.64,33.3119,40.132,33.3203,68.751,-2.382,0.7241379310344828
930,2010_Ohio,MAC,36,21,107.597,100.1118,0.6934102,49.4139,46.875,18.159,14.0,32.0,21.682,31.2218,34.2243,41.186,35.7133,46.4221,47.1135,36.57,30.729,35.693,33.2201,68.752,-7.6163,0.5833333333333334
931,2010_New_Mexico_St_,WAC,33,21,111.151,105.5232,0.6448114,53.23,51.1267,17.846,12.0,64.0,18.5267,29.9262,34.2243,38.0155,32.064,51.446,49.8249,37.545,35.7253,38.749,34.6245,70.224,-2.28,0.6363636363636364
932,2010_Montana,BSky,30,20,105.5136,101.2144,0.6181128,54.216,47.611,19.1102,14.0,64.0,19.522,30.2252,29.654,36.8193,38.8202,51.93,44.853,39.315,36.0264,32.3169,30.491,61.6313,-4.5113,0.6666666666666666
933,2010_UC_Santa_Barbara,BW,29,19,100.6202,97.471,0.5933138,50.784,48.013,22.6289,15.0,64.0,22.067,27.6311,32.5165,45.431,39.4215,47.5182,48.9219,37.64,31.04,35.986,39.9337,65.9165,-4.0104,0.6551724137931034
934,2010_Oakland,Sum,33,24,107.498,104.5212,0.5785141,49.0155,50.3235,19.7132,14.0,64.0,18.4272,36.94,31.1101,41.186,32.469,49.889,50.0259,31.6273,33.9155,31.021,26.215,68.848,-0.967,0.7272727272727273
935,2010_Vermont,AE,35,25,103.5159,101.3147,0.5626148,48.2191,45.029,20.5179,16.0,64.0,20.2183,36.353,33.6217,49.46,34.6109,48.5142,43.727,31.7267,32.066,27.8286,30.7105,66.4141,-4.9117,0.7142857142857143
936,2010_East_Tennessee_St_,ASun,34,19,99.1231,98.896,0.5099166,47.7216,48.6154,21.1208,16.0,64.0,24.014,35.087,33.7222,40.697,39.9225,48.0158,47.8173,31.2282,33.2116,28.8266,41.2341,67.0108,-7.917,0.5588235294117647
937,2010_Morgan_St_,MEAC,37,27,104.4146,104.3206,0.5029169,47.5227,46.563,19.098,15.0,64.0,20.2183,39.711,34.7263,43.949,43.2274,46.5217,45.782,33.2214,32.584,27.6289,25.912,68.556,-3.797,0.7297297297297297
938,2010_Lehigh,Pat,33,22,105.8128,106.3243,0.4846177,51.462,48.7155,18.469,16.0,64.0,19.4228,29.8266,29.551,43.158,30.943,47.8167,47.0133,39.99,34.72,29.7247,34.9257,69.142,-6.6145,0.6666666666666666
939,2010_North_Texas,SB,31,22,102.717,103.5192,0.476218,50.494,47.8116,21.2219,15.0,64.0,18.2279,32.717,30.578,52.91,32.771,50.954,47.3146,32.8225,32.9103,30.5224,25.912,67.0112,-3.795,0.7096774193548387
940,2010_Robert_Morris,NEC,35,23,100.3208,101.415,0.4702183,48.916,46.981,21.926,15.0,64.0,23.133,34.61,32.5165,46.021,47.8318,46.7209,46.098,36.179,32.169,29.2258,38.2316,65.7176,-6.414,0.6571428571428571
941,2010_Winthrop,BSth,31,17,90.9322,97.068,0.3217234,41.6344,45.744,18.054,16.0,64.0,22.646,34.0127,29.86,35.3236,39.4215,42.6322,46.1104,25.8347,30.013,26.0307,35.3269,63.7266,-8.5182,0.5483870967741935
942,2010_Arkansas_Pine_Bluff,SWAC,33,17,91.8315,98.285,0.3159238,44.8315,45.847,24.4329,16.0,64.0,20.4164,35.474,27.311,47.912,54.6342,44.7273,44.546,30.0311,32.478,26.3303,30.9111,65.4194,-7.9172,0.5151515151515151
943,2023_Connecticut,BE,39,31,121.53,91.29,0.96431,53.933,44.45,18.9237,4.0,1.0,18.5138,38.52,26.168,30.8199,37.8312,53.65,44.49,36.359,29.712,41.766,30.413,66.72,5.013,0.7948717948717948
944,2023_Alabama,SEC,37,31,116.115,89.03,0.95482,52.186,41.31,18.7224,1.0,16.0,15.8312,34.223,27.9149,36.647,32.622,53.84,40.81,33.5193,28.33,47.29,30.01,72.64,10.21,0.8378378378378378
945,2023_Houston,Amer,37,33,117.313,90.35,0.95323,52.379,42.72,15.428,1.0,16.0,21.137,37.14,27.714,28.9262,35.7285,53.16,43.45,34.0173,27.92,37.916,43.5339,63.4341,8.05,0.8918918918918919
946,2023_UCLA,P12,37,31,114.923,88.52,0.95284,51.1146,46.827,14.915,2.0,16.0,23.311,33.043,28.2166,27.4305,27.572,50.6161,46.944,34.9123,31.132,29.0342,38.8234,66.1234,8.44,0.8378378378378378
947,2023_Tennessee,SEC,36,25,111.257,87.51,0.94015,49.921,42.83,18.1169,4.0,16.0,22.22,36.46,26.9105,30.7203,33.8245,50.3181,45.115,32.8234,26.51,40.1103,41.8317,65.1285,2.825,0.6944444444444444
948,2023_Texas,B12,38,29,116.116,91.81,0.93716,53.345,48.166,16.355,2.0,8.0,22.121,28.319,29.0206,30.5211,33.7244,54.034,47.968,34.7137,32.483,34.5267,34.896,68.5115,7.58,0.7631578947368421
949,2023_Purdue,B10,35,29,117.91,93.721,0.93337,51.8101,47.24,17.299,1.0,64.0,15.4329,38.43,23.513,37.237,19.21,54.133,47.253,32.2273,31.343,38.4145,35.5123,63.933,9.43,0.8285714285714286
950,2023_Arizona,P12,35,28,119.46,95.434,0.92928,56.53,47.135,18.4208,2.0,64.0,16.9246,30.7107,26.168,35.859,25.534,56.48,46.229,37.816,32.378,37.7169,38.723,72.21,7.67,0.8
951,2023_Gonzaga,WCC,37,31,123.21,99.078,0.92519,57.62,51.4228,14.813,3.0,8.0,17.8183,31.294,25.66,34.194,26.043,58.24,50.6195,37.523,35.2255,32.6305,39.0242,70.14,6.69,0.8378378378378378
